Title,Author,Rating
小城与不确定性的墙,[日] 村上春树 ,8.1
恶女的告白,[日] 叶真中显 ,8.2
智人之上：从石器时代到AI时代的信息网络简史,[以色列] 尤瓦尔·赫拉利 ,8.1
日暮时分,[韩] 黄晳暎 ,8.2
我用中文做了场梦,[意] 亚历（Alessandro Ceschi） ,8.2
血与蜜之地：穿越巴尔干的旅程,刘子超 ,9.0
乔瓦尼的房间,[美] 詹姆斯·鲍德温 ,8.9
秦汉史讲义,秦晖 ,9.3
自伤自恋的精神分析,[日] 斋藤环 ,8.3
春晖,阮筠庭 ,9.0
红楼梦,[清] 曹雪芹 著 ,9.6
活着,余华 ,9.4
哈利·波特,J.K.罗琳 (J.K.Rowling) ,9.7
1984,[英] 乔治·奥威尔 ,9.4
三体全集,刘慈欣 ,9.5
百年孤独,[哥伦比亚] 加西亚·马尔克斯 ,9.3
飘,[美国] 玛格丽特·米切尔 ,9.3
动物农场,[英] 乔治·奥威尔 ,9.3
三国演义（全二册）,[明] 罗贯中 ,9.3
房思琪的初恋乐园,林奕含 ,9.2
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 ,9.3
白夜行,[日] 东野圭吾 ,9.2
小王子,[法] 圣埃克苏佩里 ,9.1
安徒生童话故事集,（丹麦）安徒生 ,9.3
天龙八部,金庸 ,9.2
邓小平时代,【美】傅高义 (Ezra.F.Vogel) ,9.3
撒哈拉的故事,三毛 ,9.2
呐喊,鲁迅 ,9.2
杀死一只知更鸟,[美] 哈珀·李 ,9.2
明朝那些事儿（1-9）,当年明月 ,9.2
悉达多,[德] 赫尔曼·黑塞 ,9.2
失踪的孩子,[意] 埃莱娜·费兰特 ,9.2
新名字的故事,[意] 埃莱娜·费兰特 ,9.2
野草,鲁迅 ,9.5
中国历代政治得失,钱穆 ,9.2
沉默的大多数,王小波 ,9.1
卡拉马佐夫兄弟,陀思妥耶夫斯基 (Ф.М.Достоевский) ,9.6
白鹿原,陈忠实 ,9.2
局外人,[法] 阿尔贝·加缪 ,9.1
人类简史,[以色列] 尤瓦尔·赫拉利 ,9.1
罗杰疑案,[英] 阿加莎·克里斯蒂 ,9.3
平凡的世界（全三部）,路遥 ,9.0
许三观卖血记,余华 ,9.2
乡土中国,费孝通 ,9.2
围城,钱锺书 ,9.0
彷徨,鲁迅 ,9.3
笑傲江湖（全四册）,金庸 ,9.1
我与地坛,史铁生 ,9.2
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 ,9.1
东方快车谋杀案,[英] 阿加莎·克里斯蒂 ,9.1
肖申克的救赎,[美] 斯蒂芬·金 ,9.1
基督山伯爵,[法国] 大仲马 ,9.1
江城,[美] 彼得·海斯勒 ,9.1
城南旧事,林海音 文 ,9.1
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 ,9.0
故事新编,鲁迅 ,9.4
朝花夕拾,鲁迅 ,9.1
万历十五年,[美] 黄仁宇 ,9.0
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) ,9.6
秋园,杨本芬 ,9.0
月亮和六便士,[英] 毛姆 ,9.0
射雕英雄传,金庸 ,9.1
置身事内,兰小欢 ,9.1
追风筝的人,[美] 卡勒德·胡赛尼 ,8.9
厌女,上野千鹤子 ,9.1
寻路中国,[美] 彼得·海斯勒 ,9.0
树上的男爵,[意大利]伊塔洛·卡尔维诺 ,9.1
刀锋,[英]毛姆 ,9.0
无人生还,[英] 阿加莎・克里斯蒂 ,9.0
中国少年儿童百科全书（全四册）,林崇德 主编 ,9.4
格林童话全集,[德国]格林兄弟 ,9.1
西游记（全二册）,吴承恩 ,9.1
嫌疑人X的献身,[日] 东野圭吾 ,8.9
太白金星有点烦,马伯庸 ,9.0
史记（全十册）,司马迁 ,9.6
鼠疫,[法] 阿尔贝·加缪 ,9.1
黄金时代,王小波 ,8.9
傲慢与偏见,[英] 奥斯丁 ,8.9
可能性的艺术,刘瑜 ,9.1
悲惨世界（上中下）,[法] 雨果 ,9.1
台北人,白先勇 ,9.0
诗经,孔丘 编订 ,9.5
永恒的终结,[美] 艾萨克·阿西莫夫 ,9.1
刘擎西方现代思想讲义,刘擎 ,9.2
神雕侠侣,金庸 ,8.9
孽子,白先勇 ,9.1
历史深处的忧虑,林达 ,9.0
四世同堂,老舍 ,9.4
上帝掷骰子吗,曹天元 ,9.2
始于极限,[日] 上野千鹤子 ,9.0
美丽新世界,【英】奥尔德斯·赫胥黎 ,9.2
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 ,9.1
灿烂千阳,[美] 卡勒德·胡赛尼 ,8.9
唐诗三百首,蘅塘退士 ,9.4
哭泣的骆驼,三毛 ,9.0
美的历程,李泽厚 ,9.2
最好的告别,[美] 阿图·葛文德（Atul Gawande） ,9.0
窗边的小豆豆,[日] 黑柳彻子 著 ,8.8
人间词话,王国维 ,9.1
绝叫,[日] 叶真中显 ,8.9
文学回忆录,木心 口述 ,9.1
毛泽东选集 第一卷,毛泽东 ,9.6
呼兰河传,萧红 ,9.0
冬牧场,李娟 ,9.0
道德经,黄元吉 ,9.5
罪与罚,[俄] 陀思妥耶夫斯基 ,9.3
棋王·树王·孩子王,阿城 ,9.3
离开的，留下的,[意] 埃莱娜·费兰特 ,8.9
浪潮之巅,吴军 ,9.0
也许你该找个人聊聊,[美]洛莉·戈特利布 ,9.0
看见,柴静 ,8.8
叫魂,[美] 孔飞力 ,9.2
筚路维艰,萧冬连 ,9.5
人生的枷锁,[英] 毛姆 ,9.1
爱你就像爱生命,王小波 ,8.8
我们仨,杨绛 ,8.8
巨人的陨落,[英] 肯·福莱特 ,8.9
桶川跟踪狂杀人事件,[日] 清水洁 ,9.0
人生的智慧,(德)叔本华 ,9.2
失明症漫记,[葡] 若泽·萨拉马戈 ,9.1
受戒,汪曾祺 ,9.4
一间只属于自己的房间,[英] 弗吉尼亚·伍尔夫 ,9.2
教父,[美]马里奥·普佐 ,9.0
遥远的向日葵地,李娟 ,9.1
看不见的城市,[意] 伊塔洛·卡尔维诺 ,9.0
西线无战事,[德] 埃里希·玛丽亚·雷马克 ,9.4
海子的诗,海子 ,9.0
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 ,8.9
鹿鼎记,金庸 ,8.9
少年凯歌,人民文学出版社 ,9.3
南京大屠杀,[美]张纯如（Iris Chang） ,9.7
茶馆,老舍 ,9.2
额尔古纳河右岸,迟子建 ,9.0
克莱因壶,[日] 冈岛二人 ,8.9
流俗地,[马来西亚] 黎紫书 ,9.2
陆犯焉识,严歌苓 ,8.9
边城,沈从文 ,8.7
斯通纳,[美] 约翰·威廉斯 ,8.8
十万个为什么,少年儿童出版社 ,9.2
人间草木,汪曾祺 ,9.2
面纱,[英] 威廉·萨默塞特·毛姆 ,9.0
时间简史,[英] 史蒂芬·霍金 ,8.9
梦里花落知多少,三毛 ,8.8
平面国,[英] 埃德温·A.艾勃特 ,9.2
这些人，那些事,吴念真 ,8.8
我的天才女友,[意] 埃莱娜·费兰特 ,8.7
王尔德童话,[英] 王尔德 ,9.1
13 67,陳浩基 ,9.1
金色梦乡,[日] 伊坂幸太郎 ,9.0
昨日的世界,[奥] 斯特凡·茨威格 ,9.4
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯 ,8.9
绿毛水怪,王小波 ,9.1
一句顶一万句,刘震云 ,8.8
2001：太空漫游,[英] 阿瑟·克拉克 ,9.3
檀香刑,莫言 ,9.3
故事,[美] 罗伯特·麦基 ,9.2
海的女儿,安徒生 ,9.1
你当像鸟飞往你的山,塔拉·韦斯特弗 ,8.7
长日将尽,[英] 石黑一雄 ,8.9
经济学原理（上下）,[美] 曼昆 ,9.1
國史大綱（上下）,錢穆 ,9.4
地下室手记,(俄罗斯) 陀思妥耶夫斯基 ,9.2
阿勒泰的角落,李娟 ,9.1
安娜·卡列尼娜,[俄] 列夫·托尔斯泰 ,9.2
鹿川有许多粪,李沧东 ,8.9
全球通史(上),[美]斯塔夫里阿诺斯 ,9.2
强风吹拂,三浦紫苑 ,9.0
万水千山走遍,三毛 ,8.9
苏菲的世界,[挪] 乔斯坦·贾德 ,8.8
爱的艺术,[美] 艾·弗洛姆 ,8.8
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 ,8.8
草房子,曹文轩 ,9.0
亮剑,都梁 ,9.0
一个陌生女人的来信,[奥] 斯蒂芬·茨威格 ,8.7
温柔的夜,三毛 ,9.1
我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇 ,9.2
德米安,[德] 赫尔曼·黑塞 ,8.9
不能承受的生命之轻,米兰·昆德拉 ,8.8
球状闪电,刘慈欣 ,8.7
霸王别姬,李碧华 ,9.1
半生缘,张爱玲 ,9.1
翦商,李硕 ,9.0
明亮的夜晚,[韩]崔恩荣 ,9.0
冰与火之歌,[美]乔治·R.R.马丁 ,9.5
天朝的崩溃,茅海建 ,9.4
恶意,[日] 东野圭吾 ,8.7
古文观止,吴楚材 ,9.1
生死疲劳,莫言 ,9.0
我的阿勒泰,李娟 ,8.9
东晋门阀政治,田余庆 ,9.5
大明王朝1566,刘和平 ,9.5
李光耀观天下,李光耀 ,9.2
社会心理学,[美] 戴维·迈尔斯 ,9.0
麦琪的礼物,[美] 欧·亨利 ,8.7
我也有一个梦想,林达 ,9.0
倾城之恋,张爱玲 ,8.9
天生有罪,[南非] 特雷弗·诺亚 ,9.0
激荡三十年（上）,吴晓波 ,8.8
亲密关系（第6版）,[美] 罗兰·米勒 (Rowland S. Miller) ,9.2
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 ,8.7
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德 ,9.0
在细雨中呼喊,余华 ,8.8
理想国,[古希腊] 柏拉图 ,8.8
雕刻时光,[苏] 安德烈·塔可夫斯基 ,9.5
倚天屠龙记,金庸 ,8.7
荒原狼,[德]赫尔曼·黑塞 ,9.0
情书,[日] 岩井俊二 ,8.6
万物有灵且美,[英] 吉米·哈利 ,8.9
当呼吸化为空气,[美] 保罗·卡拉尼什 ,8.9
孙子兵法,孙武 ,9.4
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 ,8.7
一千零一夜,纳训 ,8.8
足利女童连续失踪事件,[日] 清水洁 ,9.0
孩子你慢慢来,龙应台 ,8.7
雷雨,曹禺 ,8.7
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫 ,9.5
水浒传（全二册）,[明] 施耐庵 ,8.7
九州·缥缈录,江南 ,8.8
帷幕,[英]阿加莎·克里斯蒂 ,9.1
送你一颗子弹,刘瑜 ,8.6
渴望生活,[美] 欧文·斯通 ,9.2
骆驼祥子,老舍 ,8.6
浮生六记,（清）沈复 ,8.7
雨季不再来,三毛 ,8.7
罗生门,[日] 芥川龙之介 ,8.7
银河系漫游指南,[英] 道格拉斯·亚当斯 ,8.8
父权制与资本主义,[日] 上野千鹤子 ,9.2
庄子,孙通海 译注 ,9.4
不存在的骑士,[意] 伊塔洛·卡尔维诺 ,8.9
野火集,龙应台 ,8.7
显微镜下的大明,马伯庸 ,8.7
最好的我们,八月长安 ,8.7
论语,刘胜利 ,9.1
从零开始的女性主义,[日本] 上野千鹤子 ,8.7
包法利夫人,福楼拜 ,9.1
你好，旧时光（上 下）,八月长安 ,8.7
火星救援,[美] 安迪·威尔 ,8.9
你一生的故事,[美] 特德·姜 ,8.7
会饮篇,[古希腊] 柏拉图 ,9.3
跨越边界的社区（修订版）,项飙 ,9.4
现代艺术150年,[英] 威尔·贡培兹 ,9.1
解忧杂货店,[日] 东野圭吾 ,8.5
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 ,8.7
坟,鲁迅 ,9.6
挽救计划,[美] 安迪·威尔 ,9.1
众病之王,[美] 悉达多·穆克吉 ,9.0
顾城的诗,顾城 ,8.8
时间的秩序,[意] 卡洛·罗韦利 ,8.9
奥斯维辛,[英] 劳伦斯·里斯 ,9.5
象棋的故事,[奥] 斯蒂芬·茨威格 ,9.1
分成两半的子爵,[意] 伊塔洛·卡尔维诺 ,8.8
金锁记,张爱玲 ,8.6
二手时间,[白俄] S. A. 阿列克谢耶维奇 ,8.8
命运,蔡崇达 ,8.9
规训与惩罚,[法] 米歇尔·福柯 ,9.3
看不见的女性,卡罗琳·克里亚多·佩雷斯 ,9.2
毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆 ,9.1
哈姆莱特,[英] 莎士比亚 ,8.7
总统是靠不住的,林达 ,8.8
上学记,何兆武 口述 ,8.9
